name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Gigo Jara,6,9,0,175.26,65.77,182.88,Unknown,2.26,57.0,2.71,51.0,0.0,0.0,66.0,0.0,36.0
Aleksei Kunchenko,20,2,0,172.72,77.11,177.8,Orthodox,3.67,44.0,2.83,63.0,0.25,33.0,80.0,0.0,41.0
Kemran Lachinov,3,2,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Mabelly Lima,7,1,0,157.48,61.23,182.88,Orthodox,3.07,63.0,5.67,44.0,0.0,0.0,100.0,0.0,31.0
James Terry,19,9,0,177.8,77.11,182.88,Orthodox,3.23,32.0,4.77,64.0,3.31,36.0,75.0,0.0,44.0
Dave Berry,0,1,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Patricia Alujas,9,3,0,162.56,52.16,162.56,Orthodox,5.83,31.0,9.25,44.0,0.0,0.0,0.0,0.0,29.0
Marcos Brigagao,11,1,0,190.5,92.99,193.04,Southpaw,3.07,43.0,3.27,25.0,0.0,0.0,36.0,0.0,29.0
Tetsuya Seki,14,8,1,177.8,70.31,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Neil Wain,13,4,0,177.8,109.77,182.88,Orthodox,2.64,50.0,8.57,43.0,0.0,0.0,50.0,0.0,45.0
Micol Di Segni,7,3,0,160.02,52.16,152.4,Orthodox,7.47,40.0,5.87,33.0,0.0,0.0,37.0,0.0,38.0
Anistavio Medeiros,19,10,0,167.64,65.77,182.88,Orthodox,3.64,44.0,5.0,47.0,0.0,0.0,0.0,0.0,37.0
Josh LaBerge,11,6,0,177.8,65.77,182.88,Unknown,2.53,36.0,5.33,44.0,0.0,0.0,71.0,0.0,36.0
Azamat Gashimov,8,3,0,167.64,56.7,182.88,Orthodox,1.24,21.0,4.75,53.0,1.69,25.0,0.0,0.0,35.0
Mike van Arsdale,8,5,0,187.96,92.99,182.88,Switch,1.52,41.0,1.91,41.0,1.06,14.0,37.0,0.0,60.0
Teruto Ishihara,10,7,2,170.18,61.23,175.26,Southpaw,3.26,44.0,3.63,53.0,0.5,16.0,30.0,0.0,34.0
Joey Beltran,17,14,0,185.42,83.91,190.5,Orthodox,4.92,36.0,5.27,54.0,0.48,18.0,75.0,0.0,44.0
Shane Carwin,12,2,0,187.96,120.2,203.2,Orthodox,4.38,47.0,3.53,53.0,1.42,33.0,42.0,0.0,50.0
TJ Laramie,12,5,0,167.64,65.77,167.64,Orthodox,1.49,50.0,2.64,38.0,1.44,33.0,40.0,0.0,28.0
John Richard,3,5,1,177.8,92.99,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Lucas Stark,1,5,0,177.8,70.31,182.88,Unknown,1.6,25.0,3.2,66.0,12.0,100.0,0.0,0.0,39.0
Kazuki Tokudome,18,7,1,180.34,70.31,185.42,Southpaw,2.26,41.0,3.63,53.0,2.0,38.0,78.0,0.0,38.0
Alexander Trevino,7,7,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Justin Wren,13,2,0,187.96,120.2,182.88,Orthodox,3.43,35.0,2.07,64.0,0.0,0.0,100.0,0.0,38.0
Frederick Brown,3,2,0,182.88,106.59,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
Kyoji Horiguchi,19,2,0,165.1,56.7,167.64,Orthodox,3.6,45.0,2.45,62.0,2.0,44.0,55.0,0.0,35.0
Edson Gomez,6,2,0,172.72,77.11,175.26,Switch,2.66,32.0,8.78,45.0,0.0,0.0,0.0,0.0,34.0
Alexandre Franca Nogueira,18,6,3,170.18,65.77,182.88,Orthodox,0.6,20.0,4.18,57.0,0.0,0.0,0.0,0.0,47.0
Kim Couture,3,8,0,172.72,61.23,182.88,Orthodox,12.12,80.0,2.31,69.0,0.0,0.0,0.0,0.0,50.0
Jason Fairn,4,5,0,185.42,104.33,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
Lukasz Les,8,3,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Joe Ray,13,0,0,177.8,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Jan Finney,11,12,0,172.72,61.23,182.88,Orthodox,2.16,28.0,8.75,42.0,0.77,11.0,25.0,0.0,36.0
Mason Jones,11,2,0,177.8,70.31,187.96,Orthodox,5.61,44.0,4.94,46.0,3.16,45.0,80.0,0.0,30.0
Bojan Mihajlovic,10,6,0,180.34,92.99,185.42,Orthodox,1.23,35.0,5.95,47.0,0.0,0.0,33.0,0.0,45.0
Codale Ford,11,9,0,175.26,77.11,182.88,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Christophe Leninger,3,4,0,182.88,90.72,182.88,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
Cory Walmsley,8,2,0,182.88,92.99,182.88,Orthodox,0.79,100.0,1.18,50.0,0.0,0.0,0.0,0.0,44.0
Tyler Hill,8,2,0,190.5,77.11,182.88,Switch,3.64,39.0,5.33,47.0,0.0,0.0,0.0,0.0,34.0
Jean Francois Lenogue,16,17,3,182.88,83.91,182.88,Orthodox,1.13,34.0,0.27,60.0,0.0,0.0,33.0,0.0,53.0
Brendan Seguin,23,19,1,182.88,83.91,182.88,Unknown,2.6,45.0,0.6,84.0,5.0,62.0,100.0,0.0,42.0
Felipe Bunes,13,6,0,170.18,56.7,175.26,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Steve Steinbeiss,9,4,0,190.5,83.91,190.5,Orthodox,3.92,55.0,1.86,49.0,0.44,50.0,58.0,0.0,44.0
James Bochnovic,8,3,0,193.04,92.99,205.74,Orthodox,0.65,26.0,3.64,21.0,0.0,0.0,0.0,0.0,36.0
Carlos Barreto,14,9,0,193.04,104.33,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
Joe Veres,4,3,0,170.18,70.31,182.88,Orthodox,0.0,0.0,5.55,27.0,0.0,0.0,0.0,0.0,48.0
Paul Daley,39,15,2,175.26,77.11,193.04,Orthodox,3.14,47.0,2.37,60.0,0.91,40.0,64.0,0.0,42.0
Curtis Blaydes,17,4,0,193.04,120.2,203.2,Orthodox,3.56,49.0,1.89,59.0,5.93,53.0,33.0,0.0,34.0
Terry Martin,23,11,0,172.72,83.91,180.34,Orthodox,2.82,43.0,3.13,54.0,3.1,42.0,92.0,0.0,45.0
Tyler Diamond,9,1,0,170.18,65.77,175.26,Orthodox,3.4,47.0,2.53,44.0,3.0,75.0,70.0,0.0,34.0
Martin Sano,4,3,1,180.34,77.11,190.5,Orthodox,4.0,33.0,12.0,40.0,0.0,0.0,0.0,0.0,34.0
Chris Birchler,7,4,0,190.5,92.99,182.88,Switch,9.35,46.0,14.83,35.0,0.0,0.0,0.0,0.0,38.0
John Adajar,6,2,0,175.26,77.11,190.5,Orthodox,3.9,52.0,6.28,44.0,0.0,0.0,0.0,0.0,34.0
Richard Odoms,13,3,0,195.58,120.2,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Martin Bravo,11,3,0,172.72,65.77,180.34,Southpaw,7.66,39.0,5.72,51.0,2.6,35.0,85.0,0.0,32.0
Jacobi Jones,6,2,0,175.26,70.31,182.88,Orthodox,5.87,46.0,7.6,48.0,0.0,0.0,33.0,0.0,29.0
Dominique Steele,14,9,0,177.8,77.11,187.96,Orthodox,2.32,49.0,2.42,50.0,2.95,42.0,76.0,0.0,37.0
Jared Vanderaa,12,10,0,193.04,120.2,203.2,Orthodox,4.96,44.0,5.67,45.0,0.18,50.0,20.0,0.0,33.0
